contentname,filename,author,summary,timestamp,link/_mf,link/_kb,filesize,meta
Kartu Kembar DK Multi Bahasa,kkdkmbhs.zip,david,"Game permainan mencari pasangan kartu yang kembar dengan jurus untuk melawan gangguan musuh : penukar kartu, jurus penyerang,dll. 5 bahasa: Indonesia,Inggris, Mandarin, Jawa, Palembang!!!",,h1a6ht6yn3bz6nw,"/garett/divinekids-176704/kkdkmbhs,1222044.zip",26 MB,
Kartu Kembar Variasi,kkdkvariasi.zip,david,"Game permainan mencari pasangan kartu yang kembar dengan banyak pilihan kategori, foto-foto, angka, warna, gambar, dll Sangat bagus untuk melatih ingatan anda. Ada orang yang kuat menghafal warna, ada yang kuat mengahafal bentuk.",,8r8g36g1gu3brj7,"/garett/divinekids-176704/kkdkvariasi,1188411.zip",4 MB,
Knight Legend,knightlegend.zip,raypaulus,"Appolos menjadi murid seorang pendekar terkenal GOLDIUS, mereka mencari harta yang dijaga para monster. Appolos belajar jurus, dan mencari baju zirah, dia bisa ganti baju dan jurus. Lawan berbagai macam boss- petualangan panjang & seru.",,z6w901ei6e6gpa9,"/garett/divinekids-176704/knightlegend,1222035.zip",20 MB,
Koki Nusantara,kokinusantara.zip,marshallina,"Game cara memasak masakan Indonesia, apa saja bumbunya, cara memasaknya bagaimana, dilengkapi video cara memasak yang menarik. Diajari cara memotong, memilih bumbu, dsb.",,h5f4ovb8u4279vu,"/garett/divinekids-176704/kokinusantara,1188480.zip",21 MB,swf alt
Kuis Kata DK,kuis.zip,david,"Game menebak kata yang tersembunyi. Anda pilih huruf apa yang kira-kira ada di layar. Jika tepat maka tampil, jika salah maka kesempatan berkurang. Anda bisa pakai koin tambah 1 atau 2 kesempatan.",,pq0l8edbfamfa98,"/garett/divinekids-176704/kuis,1188414.zip",5 MB,
Kuis 7 Miliar Rupiah / 7 Billion Quiz,kuis7m.zip,david,"Game kocak menjawab pertanyaan dan dapatkan 7 Miliar Rupiah! (kalo sial malah dapat HUTANG 2 Miliar). Gileee!!! Ada QUIZ EDITTOR, jika mau membuat soal untuk game ini. Buat sendiri, dan test temanmu!",,bdp6s5d0d8dn193,"/garett/divinekids-176704/kuis7m,1188471.zip",14 MB,
The Lost Village,lostvillage.zip,dk-assoc,"Saat medali aneh yang anda temukan pecah, anda masuk ke sebuah desa yang hilang. Disana dihuni banyak hantu, ada Kolor Ijo, dll yang memberi tebak-tebakan. Salah jawab=mati !",,u79sst8r8hxg0ze,"/garett/divinekids-176704/lostvillage,1188488.zip",16 MB,
Love Diamond,lovediamond.zip,dk-assoc,Game Cerita Bercabang menarik ala negeri 1001 malam ini bercerita tentang pemuda bernama Sultan hendak meminang putri Raja.Apakah anda seorang yang bijak? Banyak tes psikologi dan kebijaksanaan di game ini.,,btun55b1m42r05e,"/garett/divinekids-176704/lovediamond,1246387.zip",29 MB,
Love Journey,lovej.zip,dk-assoc,"Anda akan dihadapkan dengan 3 cewek cantik, bagaimana cara anda menaklukkan pujaan hati anda? Belajar pacaran ? 13 tahun keatas please.",,mhx4b2ua14afhrj,"/garett/divinekids-176704/lovej,1246388.zip",17 MB,
The Adventure of Xiao Lu,lu.zip,enygmus,"Pengumuman dari Raja Wei tentang kompetisi memperebutkan tahta Raja membuat Xiao Lu berambisi banyak jurus ELEMENTAL. Game Ini KEREN, tapi ukurannya GEDE banget!",,4igq6rvdepk99g1,"/garett/divinekids-176704/lu,1222147.zip",359 MB,
Mangkok Cepat DK / Quick Bowl DK,mangkokdk.zip,david,"Satu koin diletakkan diantara 3 mangkok, dan digerakkan secara cepat. Nah kemudian cari mangkok mana yang ada koinnya tadi. Sejauh mana kemampuan mata dan konsentrasi gabungan anda. Pembuat game ini dapat sampai Level Normal 15 !!!",,o3e668buk0kwtw3,"/garett/divinekids-176704/mangkokdk,1183876.zip",2 MB,
Marathon,marathon.zip,david,"Empat orang pemain bisa diatur orang/komputer berlomba menuju ke garis finish, tetapi banyak monsternya. Kamu juga punya jebakan iseng untuk memperlambat teman kamu: ranjau dan penjara angka. Kocak!",,u5uyhb4275ymytn,"/garett/divinekids-176704/marathon,1188472.zip",15 MB,
Math Curse,mathcurse.swf,synergear,"Monster-monster menyerbu Abyis, sebuah kota yang cinta MATEMATIKA., yang disihir agar BENCI MATEMATIKA. Niko pendekar kebenaran harus melakukan sesuatu!",,a3ena5g0eevyad7,"/garett/divinekids-176704/mathcurse,1246373.zip",3 MB,swf only
Mobil Balap Ketik,mbk.zip,dk-assoc,"Semakin anda mengetik cepat semakin cepat mobil anda. Game ini membantu anda berlatih mengetik 10 jari agar menjadi lebih seru. Cocok juga untuk sekolah SMP, SMA. Ada pencatatan waktu 3 terbaik.",,bcob8bcrmjc416j,"/garett/divinekids-176704/mbk,1183823.zip",704 KB,
Journel of Medi,medi.zip,pixelategroup,"Kamu adalah OBAT MENCRET bernama MEDI ( :D Wakakak), permainannya adalah keterampilan kamu geser-geser mouse sampai tuh anak ga mencret/ diare.by Pixelategroup anggota DK Associates.",,rd6hu632daz6nje,"/garett/divinekids-176704/medi,1188448.zip",10 MB,
Mesias / Messiah,mesias.zip,david,"Game 40 Mb Real Time strategy tentang Yesus dan murid-muridnya menyembuhkan orang buta, lumpuh, mengusir Iblis, membangkitkan orang mati.",,d4da65rye5v6fre,"/garett/divinekids-176704/mesias,1222047.zip",38 MB,has subversion
Misi Besar Divine Edu,misibesar.zip,david,"Game terbang petualang ini memiliki 3 pilihan jagoan untuk melakukan misi besar. Dunia dinosaurus, listrik,gua alien, dll menanti anda. Bahasa Indonesia, Inggris. Kendali dengan mouse& klik tembak.+ sedikit tes matematika& bahasa.",,627jgg0j77sd2tl,"/garett/divinekids-176704/misibesar,1222049.zip",39 MB,
Mo's Day Out,mo.zip,dk-assoc,Game campuran ketelitian mata dan cerita bercabang ini menggunakan bahasa Inggris yang baik dan benar. Baca text yang ada dengan keras sambil main game. Ikuti petualangan Mo menjadi manusia kerdil.,,6x9mmkanqg9qasd,"/garett/divinekids-176704/mo,1246372.zip",7 MB,
Mobil Negbut!,mobilkebut.zip,dk-assoc,"Game balap rintangan ini diadakan di Bali & Padang. Kendalai mobil balap ini dengan menggunakan mouse. Klik kiri untuk gas, klik kanan untuk BOOSTER NITRO.",,5p4ljnnx55upq1o,"/garett/divinekids-176704/mobilkebut,1222048.zip",40 MB,
The Adventure of Momoko,momoko.zip,dk-assoc,"Game ini mengisahkan cewek Momoko (versi cewek legenda Jepang Momotaro) melawan Raja Iblis. Game RPG, Quiz, Sport, dll. Dijamin SERU!!!",,lmf6x59ep3lc4s2,"/garett/divinekids-176704/momoko,1222054.zip",74 MB,
Monster Jahat Buster,monster.zip,david,"Game tembak monster yang melintasi daerah anda, klik kanan untuk isi peluru anda! Kalau anda berhasil akan dapat pujian, kalau gagal.... Temui monster-monster yang aneh!",,f5exqaalh5upvsu,"/garett/divinekids-176704/monster,1188410.zip",7 MB,
Mozzy Mizzy,mozzymizzy.zip,dk-assoc,Mozzy ingin membuktikan cintanya kepada Mizzy. Mizzy meminta bukti kesungguhan cinta tiga buah mutiara cantik.,,5erbr521vae7rno,"/garett/divinekids-176704/mozzymizzy,1221989.zip",51 MB,
Misteri Raja Pocong,mrpocong.zip,david,"Game arcade petualangan melawan pocong narkoba, anarkis,koruptor,dll ini memiliki animasi 3 bahasa:Ind,Ing,Jawa. Kontrol keyboard atau gamepad. Tiap menang lawan 1 boss pocong dapat jurus baru. Final boss:Kumantho pemakan mayat! Indosiar,SCTV,Trans7,TPI,d",,wc37w4ib2d7lc2r,"/garett/divinekids-176704/mrpocong,1221984.zip",40 MB,
Nevanoid 1 New,n1botr.zip,raditya,"Ras Ghoulvoid tersebut mencoba menguasai dunia. Nevan dan kakaknya menghentikannya... Versi baru Nevanoid. Karya Raditya Tyan Ryugasia, anggota Divinekids yang aktif.",,30pid2b990wpbsg,"/garett/divinekids-176704/n1botr,1221969.zip",49 MB,duplicate
Nama Hewan 3 Bahasa,namahewan3bahasa.zip,dk-assoc,"Mengenal nama hewan lucu dalam 3 bahasa : Indonesia, Inggris, Mandarin. Ada permainannya juga yang menarik untuk anak-anak. Klik tulisannya maka dibaca Mandarin & Inggrisnya.",,32016vyv4l5kg21,"/garett/divinekids-176704/namahewan3bahasa,1188460.zip",13 MB,
The Nanny,nanny.zip,dk-assoc,"Game merawat bayi. Bayi perlu diganti popoknya, diberi minum susu, diajak main, dimandikan,dll. Jangan sampai ada salah nanti dia menangis!",,wvsmx1cx6elg5u5,"/garett/divinekids-176704/nanny,1188485.zip",21 MB,
Nasi Tumpeng Presiden,nasitumpengpresiden.zip,dk-assoc,Game suit Capres vs Capres dan Cawapres vs Cawapres. Setiap suit dihitung REKAPITULASI nya. Wah..wah... suit memperbutkan Nasi Tumpeng PRESIDEN.,,hcblgkmqvpopycb,"/garett/divinekids-176704/nasitumpengpresiden,1188429.zip",8 MB,
Nevanoid,nevanoid.zip,raditya,RPG Ras Ghoulvoid tersebut mencoba merekrut keluarga Thunrecrush untuk membantu mereka dalam rencana menguasai dunia. Nevan dan kakaknya menghentikannya... Karya keren : Raditya Tyan.,,bfct1pqtb9ty1xt,"/garett/divinekids-176704/nevanoid,1221971.zip",57 MB,has subversion
Ngoceh Indonesia,ngoceh.zip,david,"Text to speech PLUS GAME Speak : Indonesia - Jawa Kocak Buanget! Ubah SEMUA ketikan anda jadi suara, asal bahasa Indonesia atau Jawa. SEMUA bisa main, jg sangat berguna : tunawicara& tunanetra.",,d4s1pts91utbn0a,"/garett/divinekids-176704/ngoceh,1222009.zip",79 MB,
Pai Che Lo,paichelo.zip,dk-assoc,"Anda adalah seorang kaisar yang hendak mencari istri dari berbagai macam dunia. Ada yang dari Jepang, India, Afrika,Inggris. Masing-masing ada kisahnya sendiri.",,6ub8prakyd2k24z,"/garett/divinekids-176704/paichelo,1221960.zip",68 MB,
Panco Master,panco.zip,dk-assoc,Tahun 2089 - ada sebuah trend dimana siapa yang paling kuat dalam PANCO dialah yang menjadi ketua di daerah tersebut.Ingin menang Panco? KETIK KATA dengan cepat dan benar.,,j2m7hk664hkr95t,"/garett/divinekids-176704/panco,1221956.zip",48 MB,
Bilangan Pecahan Fraction Survival,pecahanfractions.zip,david,"Game untuk para murid dan guru agar bisa bermain sambil belajar BILANGAN PECAHAN. Plus, Minus, Kali, Bagi. Cuma orang keren bisa sampe LV 99.",,gzxhzr89n6xzmuk,"/garett/divinekids-176704/pecahanfractions,1188397.zip",4 MB,
Pejuang Indonesia,pejuang.zip,dk-assoc,"Game RPG, kamu berjuang bersama-sama Ir. Soekarno ke Surabaya. Bung Tomo menunggu disana. Belajar sejarah sambil main game. Seru! Ciptaan pelajar kreatif : Galih Sensai !",,w1yco9moc5lh1bc,"/garett/divinekids-176704/pejuang,1221988.zip",134 MB,
Pemburu Jahat,pemburujahat.zip,dk-assoc,"Dalam game tembak-tembakan kacau ini, anda berperan sebagai pemburu hewan-hewan langka. Anda menembaki panda, burung langka, panther, dll. Akankah sang pemburu ditangkap?",,uc7htb2ufo85sc7,"/garett/divinekids-176704/pemburujahat,1221915.zip",46 MB,
Pemburu Pocong,pemburupocong.zip,dk-assoc,Lindungi orang yang sedang semadi di tengah kuburan agar jangan sampai terkena samber Pocong. Ketangkasan anda dalam menembak menentukan nasib sang petapa.,,5am7wkr52uz76my,"/garett/divinekids-176704/pemburupocong,1183802.zip",399 KB,
Pemburu Tikus,pemburutikus.zip,dk-assoc,"Pemburu Tikus, Game ini adalah game shooting sederhana dengan desain yang cukup menarik. Skor anda akan dicatat secara online.",,615ab1mbz9enfqb,"/garett/divinekids-176704/pemburutikus,1183853.zip",2 MB,
Game Pemilu 2004,pemilu2004.zip,david,"Game mencari kartu kembar dengan bendera-bendera partai Pemilu 2004.Tidak ada tujuan kampanye satu/lebih partai. Game ini membantu anda menghafal nama partai, dan mengetahui lambang partai.",,somfth5dfdh566r,"/garett/divinekids-176704/pemilu2004,1188315.zip",9 MB,
Game Pemilu 2009,pemilu2009.zip,david,"Game satu ini mengajak anda bermain asyik bersama simbol-simbol partai Pemilu 2009. Game ini mengajak anda agar hafal nama dan simbol Partai dengan mencari ala Kartu Kembar. Ada 16, 24, 32 kartu pilihan. Rahasia: 72 kartu???",,n8dw6vzz9ik6avv,"/garett/divinekids-176704/pemilu2009,1188314.zip",8 MB,
Pentung Bambo (HP Nokia),pentungbambo.zip,dk-assoc,"Game pentung Bambo ini game hp berkarakter Divinekids yang pertama. Suara teriakan lucu. seru untuk dimainkan di handphone NOKIA 3650, 3660, 7650 (seri lain belum kami coba). Kemungkinan N-Gage juga bisa.",,7t35h510p591lw2,"/garett/divinekids-176704/pentungbambo,1183801.zip",213 KB,
Petualangan Divinekids,petdivine.zip,david,"Game RPG petualangan Abe,Bambo,Cici melawan penyihir gelap Indra yang akan membangkitkan Iblis 1000 tahun. Cerita menarik, petempuran seru, animasi dengan bahasa Indonesia, asyik dimainkan.",,kwa6fl92j632x2x,"/garett/divinekids-176704/petdivine,1188316.zip",32 MB,
Pomme,pomme.zip,dk-assoc,Selamatkan bumi dari Alien yang benci manusia penyebab Global Warming. Ada 2 tipe game unik dalam 1 judul ini. Klik animasi cari solusi dan Petualangan dengan arah keyboard berubah-ubah. Coba!,,okaemi1ew1hda5u,"/garett/divinekids-176704/pomme,1188327.zip",60 MB,
PRIMA: Anti Terror & Begal,prima.zip,ivan,Game SIMPLE RPG ini mengisahkan tentang keanehan kemunculan PARA BEGAL di banyak kota dalam waktu bersamaan. Adakah kekuasaan yang menggerakan mereka? Politik? Militer?,,om5gr6pn1p1u4r5,"/garett/divinekids-176704/prima,1188330.zip",62 MB,
PuzzleMaster DivineKids,puzzlemasterdk.zip,david,"Game menyusun gambar teracak ini menggunakan mouse. Pada pointer mouse ada jagoan kita Cici, hati-hati jangan sampai menabrak musuh. Ada Leak, Barong, dll. Semua bertema BALI, dari gambar puzzle,musik, musuh.+ Lampung + Lombok.",,4xhwtujb4t9ba31,"/garett/divinekids-176704/puzzlemasterdk,1188320.zip",33 MB,
Random Quiz,randomquiz.zip,dk-assoc,"Game dengan macam-macam pertanyaan dari Olahraga, musik, tekhnologi, animasi, dll. Dengan hadiah undian macam-macam.",,03n9yly2dqs35xb,"/garett/divinekids-176704/randomquiz,1188293.zip",18 MB,
The Twisted Tale of Little Red Riding Hood,redridinghood.zip,dk-assoc,Game cerita bercabang berbahasa Inggris yang sengaja diberi suara sedikit agar pemain game dapat berlatih membaca melafalkan text bahasa Inggris. Cerita menarik & ada game mini.,,11te6317iuoa1ah,"/garett/divinekids-176704/redridinghood,1188274.zip",5 MB,
Ron Cherry,roncherry.zip,dk-assoc,Game tipe Cerita Bercabang ini menggunakan bahasa Inggris mengisahkan 2 orang anak yang tersesat di sebuah hutan mistis. Apa mereka bisa keluar?,,dkykcb14kvcy74q,"/garett/divinekids-176704/roncherry,1188292.zip",17 MB,
Lolos dari Ruangan Beracun,ruanganberacun.zip,david,"Game petualangan strategi Bambo Ijo agar lolos dari ruangan penuh asap rokok beracun. Game kampanye ANTI MEROKOK DI TEMPAT UMUM. Satukan tanda ""Dilarang"" dan tanda ""Merokok"" untuk buka pintu.",,37o686rg4kbmh37,"/garett/divinekids-176704/ruanganberacun,1246375.zip",11 MB,
Misteri Penunggu Rumah Tua,rumahtua.zip,dk-assoc,"Game ini jangan dikira serem ya.... Disini malah ada kuis kaya di TV, glamor lagi, tapi MCnya Pocong, Hantu Jeruk Purut, Tuyul, Sundel Bolong.",,9zt1w451b2qo7kz,"/garett/divinekids-176704/rumahtua,1188286.zip",8 MB,
Samurai Jabrik,samuraijabrik.zip,hizkia,"Game seorang samurai yang hendak menolong cucu perempuan seorang kakek. Dijanjikan bisa menikah dengan sang cucu. Klik kiri pedang, klik kanan tembak silver bullet.",,744lvk8ad1tdm6z,"/garett/divinekids-176704/samuraijabrik,1188312.zip",27 MB,
Sayembara Kerajaan,sayembara.zip,dk-assoc,"Bawang Putih,Malin Kundang, Timun Mas berusaha menyelamatkan seorang pangeran yang diculik. Karakter yang anda pilih memiliki kisah berbeda, dan lawan berbeda. Ada: Bawang Merah cs.",,5bq971f9esfg5e7,"/garett/divinekids-176704/sayembara,1188300.zip",24 MB,
SBY Boediono Game,sbyboedionogame.zip,david,"Game Kampanye kedua buatan David Setiabudi.Tipe petualangan, pilih jagoan anda, SBY tenaga 400 tembak besar. Boediono loncat tinggi. Game ini menantang! Game ini boleh didownload jika anda berusia 21 tahun keatas/ usia pencontreng.",,bhgkq0fsrzi2m2c,"/garett/divinekids-176704/sbyboedionogame,1188276.zip",6 MB,
Scarlet Harvest,scarlet.zip,dk-assoc,Game cerita bercabang buatan Foxtale. Menceritakan tentang 2 remaja menyelesaikan misteri pembunuhan di sebuah rumah.,,x6d9qj6r16hfaly,"/garett/divinekids-176704/scarlet,1188284.zip",10 MB,
Sekolah Gambar,sekolahgambar.zip,david,Menggambar untuk TK dan SD dengan komputer akan lebih menyenangkan dengan Sekolah Gambar. Banyak bimbingan step by step menggambar.,,dov4kqutann08s8,"/garett/divinekids-176704/sekolahgambar,1188288.zip",17 MB,
Dunia Mewarnai Anak Sekolah Minggu,sekolahminggu.zip,david,Nah yang satu ini khusus anak-anak dan guru-guru Sekolah Minggu. Warnai dan PRINT gambar. Download 2.5 Mb saja!,,f61oidf60r7cu0y,"/garett/divinekids-176704/sekolahminggu,1183848.zip",2 MB,
Sepak Bola Divine Kids,sepakbolanewest.zip,david,Indonesia masuk PIALA DUNIA terwujudkan dalam Game sepak Bola DK.11 vs 11 orang dikendalikan dengan MOUSE (Copyright David Setiabudi) sungguh SERU!!! Bisa menang lawan SPANYOL? Belanda?,,ns5xn5k0w8caov0,"/garett/divinekids-176704/sepakbolanewest,1188323.zip",49 MB,
Bambo vs Serbuan Anjing Perokok,serbuan.zip,david,"Anjing perokok menyerbu bumi, misinya menjadikan semua manusia menjadi perokok. Anak-anak sesak napas, mereka terZOLIMI, Bambo dan seorang peri melawan kekejian mereka!",,c70d77dgcc7zrts,"/garett/divinekids-176704/serbuan,1246393.zip",67 MB,
Serupa Tapi Beda,serupa.zip,david,Game serupa ini menantang kejelian mata anda mencari 7 perbedaan di gambar ini menentukan kemenangan game. Tersedia banyak gambar di dalam game in. Ada catatan 10 pemain terbaik.,,ccn1x9d8wqect4w,"/garett/divinekids-176704/serupa,1188270.zip",8 MB,
Sharkie Angel,sharkie.zip,dk-assoc,"Game cerita bercabang yang mengisahkan kisah detektif Sharkie dari dia SD,SMP,SMA (dapat pilih). Kisah romantis, dan lucu. Ada bonus mini game Pentung Tikus.",,axpj2j0vcy6yajp,"/garett/divinekids-176704/sharkie,1188308.zip",32 MB,
Siick Dodgleball,sickdodgeball.zip,evan,"Game orang yang sedang dibully, dan anda menjadi orang yang dibully, minta-minta ampun. Hindari lemparan-lemparan bola. Ada 3 stage per level, JANGAN COBA yang Crazy, karena kalau kalah komputer anda di-SHUTDOWN.",,u867wx24j2h6ygw,"/garett/divinekids-176704/sickdodgeball,1188306.zip",43 MB,
Siege Arm,siegearm.zip,david,"Game buatan David Setiabudi 1992-1993 di SMUK St.Albertus Malang. Game dengan kontrol arah 4,8,6,2 - Spasi tembak - 5 Thunder. Game ini tidak diakui sebagai Game Pertama Indonesia karena judul sama dengan game buatan asing & penyebaran kurang luas,dll.",,pyzi9meoh8h7phe,"/garett/divinekids-176704/siegearm,1183795.zip",152 KB,
Silent Night (versi 1.00),silentnight.zip,dk-assoc,Game horror action cerita bercabang yang memiliki banyak ending. Bagus buat kamu yang ingin berlatih belajar bahasa Inggris juga TAPI SEREM... Kalo berani sih...,,dmlz2y98d6v5kp7,"/garett/divinekids-176704/silentnight,1188242.zip",32 MB,
Sky Jump,skyjump.zip,dk-assoc,Deolis dengan sepatu loncat tingginya dihadapkan dengan robot penghancur kota. Deolis meloncat dari punggung pesawat menuju kepala robot musuh....,,w34jj2mo0aykxx8,"/garett/divinekids-176704/skyjump,1188211.zip",8 MB,
Super Seed,superseed.zip,dk-assoc,"Di sebuah negeri ada biji-biji tanaman yang dapat berbicara karena adanya peri bunga. Suatu hari Peri Bunga diculik Meong. Super Seed harus menolong. Ada quiz, latihan mengingat, ketangkasan dalam misinya.",,jap6tqdvj373ool,"/garett/divinekids-176704/superseed,1188228.zip",17 MB,
Tangkap Koruptor,tangkapkoruptor.zip,david,"Satu Koruptor akan menyengsarakan banyak rakyat. Apa itu Korupsi? Merugikan seperti apa? Mainkan game seru ini bersama KPK Bambo, Somat, dan Gahar dalam 3 stage dan ada animasinya melawan para koruptor.",,9lylyh6pnk8cn06,"/garett/divinekids-176704/tangkapkoruptor,1188236.zip",24 MB,
Taro Cowboy,tarocowboy.zip,david,"Game petualangan TARO (TARO SNACK). Mau loncat, jongkok, atau tembak tinggal klik tombol di bawahnya. Asyik! Ayo mainkan gamenya sambil makan Taro Snack yang Enaknya Sungguh Krazzaaa....",,m4dnjf5q5ed75qj,"/garett/divinekids-176704/tarocowboy,1188227.zip",16 MB,
Taro Gunman,tarogunman.zip,david,"Petualangan Taro melawan Trio Pengacau yang dijamin seru. Kontrol menggunakan keyboard, Taro memiliki pistol snack Tembak Blast, dan Bola Snack Pelindung yang hebat. Game yang harus punya!",,m6xu854a861zug8,"/garett/divinekids-176704/tarogunman,1188245.zip",36 MB,
Taro Quest,taroquest.zip,david,"Petualangan Taro melawan Trio Pengacau dalam Peta yang SANGAT LUAS, senjata yang bermacam-macam, rakit, bom, istana boss yang berliku-liku. Game masterpiece Taro Snack yang HARUS PUNYA!!! Seru!!!",,aateidiyixntami,"/garett/divinekids-176704/taroquest,1188249.zip",53 MB,
Taro Tembak Blast,tarotembak.zip,david,Game tembak-tembakan TARO (TARO SNACK) dengan menggunakan mouse klik sebagai tembak. Ayo mainkan gamenya sambil makan Taro Snack yang Enaknya Sungguh Krazzaaa....,,hxlitrnk385jplg,"/garett/divinekids-176704/tarotembak,1188221.zip",10 MB,
Upgrade IQ,upgradeiq.zip,yohanes,"Game dari Prof Yohanes Surya untuk meningkatkan IQ anda. Anda mencari angka yang kembar, misal anda pilih 1/2 maka cari 2/4. 3/6. 4/8 dan seterusnya. Penyederhanaan bilangan juga bisa dilakukan 10/3 jadi 3 1/3. Salah penyederhanaan = DIOMELI KIDI",,8ai79rjet8ib5d6,"/garett/divinekids-176704/upgradeiq,1188229.zip",14 MB,
Priest - Vampire Slayer,vampire.zip,dk-assoc,"Anda adalah seorang Priest muda yang memiliki kemampuan mengeluarkan jurus api dari tangan anda, anda ditugaskan untuk membasmi vampir-vampir penghisap darah yang centil...??",,w70s1z5i6zmbwms,"/garett/divinekids-176704/vampire,1246391.zip",35 MB,
Vitruvian Project,vitruvian.zip,dk-assoc,"Clevio dan Fu Chang adalah 2 pasangan detektif, suatu hari Fu Chang diculik! Clevio harus menolong. Pilih armor, senjata, dll.Semi RPG dan cerita bercabang menarik di sini.",,ozth6cjexz8pygd,"/garett/divinekids-176704/vitruvian,1246379.zip",17 MB,
Pelarian Wii,wii.zip,dk-assoc,"Kamu adalah Wii penyihir cilik yang bosan ikut geng penyihir jahat, jadi mau pindah ke partai PERI. Game ini latih kepekaan geser mouse, Ambil Kunci dulu baru bisa buka pintu.Buatan MMM-Marshellina Monica dan Monica angoota DK Associates.",,fqb55bcioz1q1i5,"/garett/divinekids-176704/wii,1188213.zip",5 MB,
Pelarian Wii II,wii2.zip,dk-assoc,Perang antara kaum penyihir dan peri terjadi saat Wii berpindah dari penyihir ke peri. Hal ini dikarenakan para penyihir merampok desa-desa. Teman-teman Wii dikurung karena ingin jadi peri seperti Wii.,,qqk0fvaqctr0rno,"/garett/divinekids-176704/wii2,1188265.zip",94 MB,
